Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Market,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
AMZ-2020-00019,2020-01-08,2020-01-11,Second Class,CUST-83519,James Brown,Consumer,British Columbia,British Columbia City,British Columbia Region,93507,Canada,Canada,PROD-TAB-8007,Furniture,Tables,Realspace Magellan,292.69,1,0.15,65.78
AMZ-2022-00020,2022-05-30,2022-06-01,Second Class,CUST-56357,Vikas Young,Corporate,United States,Warren,Michigan,15229,Central,US,PROD-TAB-2684,Technology,Tablets,Samsung Galaxy Tab S8,3470.39,4,0,1189.87
AMZ-2024-00021,2024-12-10,2024-12-14,Second Class,CUST-15075,Divya Martin,Consumer,United States,Tacoma,Washington,63964,West,US,PROD-TAB-7267,Furniture,Tables,IKEA Bekant Desk,1602.18,4,0.05,91.48
AMZ-2022-00022,2022-03-27,2022-03-30,First Class,CUST-53404,James Brown,Corporate,Japan,Japan City,Japan Region,46585,APAC,APAC,PROD-FUR-9785,Furniture,Furnishings,Cable Management,643.66,2,0.5,116.1
AMZ-2022-00023,2022-06-12,2022-06-17,First Class,CUST-67154,James Thompson,Home Office,Nigeria,Nigeria City,Nigeria Region,60488,Africa,Africa,PROD-LAB-1727,Office Supplies,Labels,ULINE Labels,245.4,4,0.15,44.02
AMZ-2023-00024,2023-06-30,2023-07-03,Same Day,CUST-62743,Amit Anderson,Home Office,UAE,UAE City,UAE Region,49363,EMEA,EMEA,PROD-FAS-6344,Office Supplies,Fasteners,Stanley Bostitch,188.56,3,0.5,41.62
AMZ-2023-00025,2023-01-27,2023-02-03,First Class,CUST-67954,Priya Miller,Home Office,United States,Warren,Michigan,37549,South,US,PROD-ENV-8238,Office Supplies,Envelopes,Amazon Envelopes,214.19,3,0,28.94
AMZ-2020-00026,2020-07-10,2020-07-17,Same Day,CUST-13201,Mary Davis,Corporate,Alberta,Alberta City,Alberta Region,98184,Canada,Canada,PROD-TAB-3414,Furniture,Tables,Sauder L-Desk,3398.63,10,0.05,902.35
AMZ-2022-00027,2022-10-09,2022-10-13,Same Day,CUST-38683,Jennifer Verma,Home Office,Italy,Italy City,Italy Region,95990,EU,EU,PROD-PAP-7965,Office Supplies,Paper,HP Printer Paper,41.46,2,0.3,3.73
AMZ-2023-00028,2023-09-29,2023-10-04,Same Day,CUST-81810,Joseph Joshi,Consumer,Morocco,Morocco City,Morocco Region,51588,Africa,Africa,PROD-FUR-7991,Furniture,Furnishings,Monitor Riser,861.23,4,0.1,240.92
AMZ-2023-00029,2023-07-07,2023-07-09,Same Day,CUST-54020,David Joshi,Home Office,Thailand,Thailand City,Thailand Region,20155,APAC,APAC,PROD-FAS-5451,Office Supplies,Fasteners,Swingline Stapler,104.99,3,0.05,7.27
AMZ-2021-00030,2021-11-08,2021-11-13,Second Class,CUST-85456,Richard Martin,Consumer,Venezuela,Venezuela City,Venezuela Region,18161,LATAM,LATAM,PROD-COP-1320,Technology,Copiers,Sharp MX-3071,4714.02,7,0.4,1292.84
AMZ-2022-00031,2022-09-26,2022-09-28,Standard Class,CUST-31632,Arjun Harris,Consumer,Malaysia,Malaysia City,Malaysia Region,73654,APAC,APAC,PROD-COP-7624,Technology,Copiers,Konica Minolta,6549.85,10,0.5,1630.26
AMZ-2023-00032,2023-08-09,2023-08-13,Same Day,CUST-37742,Joseph Taylor,Corporate,Poland,Poland City,Poland Region,33819,EU,EU,PROD-MAC-6363,Technology,Machines,Brother Fax Machine,4596.01,7,0.1,1380.98
AMZ-2020-00033,2020-02-09,2020-02-15,Same Day,CUST-14067,Linda Miller,Consumer,South Africa,South Africa City,South Africa Region,55870,Africa,Africa,PROD-TAB-1659,Technology,Tablets,iPad Pro 12.9,862.52,2,0.5,288.36
AMZ-2023-00034,2023-12-03,2023-12-06,Second Class,CUST-24168,Charles Smith,Corporate,Saskatchewan,Saskatchewan City,Saskatchewan Region,31992,Canada,Canada,PROD-BIN-6096,Office Supplies,Binders,Cardinal Premier,140.91,4,0,32.08
AMZ-2020-00035,2020-07-27,2020-08-02,First Class,CUST-55508,Karen White,Home Office,Manitoba,Manitoba City,Manitoba Region,99687,Canada,Canada,PROD-BIN-1672,Office Supplies,Binders,Mead Zipper Binder,192.18,7,0.3,15.69
AMZ-2023-00036,2023-07-25,2023-08-01,Second Class,CUST-90728,Pooja Nair,Home Office,Argentina,Argentina City,Argentina Region,67080,LATAM,LATAM,PROD-TAB-5425,Technology,Tablets,Amazon Fire HD,6671.48,10,0.1,978.65
AMZ-2024-00037,2024-08-28,2024-08-29,First Class,CUST-54092,James Martin,Corporate,Thailand,Thailand City,Thailand Region,41963,APAC,APAC,PROD-FUR-7209,Furniture,Furnishings,Monitor Riser,670.76,6,0.1,210.68
AMZ-2023-00038,2023-02-12,2023-02-13,Same Day,CUST-82768,Vikas Davis,Home Office,Egypt,Egypt City,Egypt Region,21221,Africa,Africa,PROD-TAB-9004,Technology,Tablets,Lenovo Tab P12,454.46,1,0,62.84
AMZ-2023-00039,2023-11-17,2023-11-19,First Class,CUST-65771,Sneha Young,Corporate,Philippines,Philippines City,Philippines Region,58368,APAC,APAC,PROD-FUR-6632,Furniture,Furnishings,Monitor Riser,871.82,4,0,232.24
AMZ-2020-00040,2020-09-01,2020-09-07,Standard Class,CUST-87278,Vikas Thompson,Home Office,Kenya,Kenya City,Kenya Region,35105,Africa,Africa,PROD-TAB-5530,Technology,Tablets,Lenovo Tab P12,1088.48,4,0.15,113.02
AMZ-2023-00041,2023-12-21,2023-12-26,Standard Class,CUST-93606,Divya Gupta,Corporate,Netherlands,Netherlands City,Netherlands Region,15965,EU,EU,PROD-LAP-3068,Technology,Laptops,Lenovo ThinkPad X1,982.18,8,0.3,149.5
AMZ-2021-00042,2021-06-01,2021-06-08,Second Class,CUST-29887,Robert Verma,Home Office,Mexico,Mexico City,Mexico Region,18564,LATAM,LATAM,PROD-STO-1878,Furniture,Storage,Sterilite Storage,526.46,9,0.2,122.08
AMZ-2024-00043,2024-05-07,2024-05-12,Second Class,CUST-84531,Lisa Johnson,Home Office,Ecuador,Ecuador City,Ecuador Region,68028,LATAM,LATAM,PROD-FUR-6003,Furniture,Furnishings,Cable Management,269.14,4,0.1,66.78
AMZ-2021-00044,2021-05-06,2021-05-08,Second Class,CUST-48175,Mary Davis,Corporate,Nigeria,Nigeria City,Nigeria Region,30517,Africa,Africa,PROD-COP-8699,Technology,Copiers,Sharp MX-3071,2455.11,4,0.1,703.02
AMZ-2022-00045,2022-05-20,2022-05-21,First Class,CUST-17816,Jennifer Verma,Corporate,Egypt,Egypt City,Egypt Region,94886,Africa,Africa,PROD-MAC-2169,Technology,Machines,Canon Copier,4425.53,8,0,843.55
AMZ-2023-00046,2023-12-04,2023-12-08,First Class,CUST-66626,Sneha Taylor,Home Office,Indonesia,Indonesia City,Indonesia Region,80776,APAC,APAC,PROD-STO-1653,Furniture,Storage,Sterilite Storage,506.59,10,0.5,169.83
AMZ-2023-00047,2023-03-26,2023-03-27,First Class,CUST-86720,Jessica Sharma,Corporate,British Columbia,British Columbia City,British Columbia Region,71669,Canada,Canada,PROD-STO-3973,Office Supplies,Storage,Rubbermaid Tote,228.41,6,0,70.2
AMZ-2022-00048,2022-04-23,2022-04-29,Standard Class,CUST-21542,David Wilson,Corporate,Chile,Chile City,Chile Region,96846,LATAM,LATAM,PROD-FUR-8451,Furniture,Furnishings,Artistic Wire Organizer,280.21,1,0.4,52.85
AMZ-2021-00049,2021-01-19,2021-01-24,First Class,CUST-45003,Karen Jones,Corporate,Philippines,Philippines City,Philippines Region,75338,APAC,APAC,PROD-STO-4335,Office Supplies,Storage,Sterilite Storage,130.68,10,0.05,34.36
AMZ-2023-00050,2023-02-02,2023-02-03,Second Class,CUST-94896,Arjun Jones,Corporate,Tanzania,Tanzania City,Tanzania Region,22217,Africa,Africa,PROD-PHO-2924,Technology,Phones,OnePlus 11,4958.82,7,0.3,1706.2
AMZ-2022-00051,2022-07-24,2022-07-29,Same Day,CUST-46208,Vikas Verma,Corporate,Sweden,Sweden City,Sweden Region,34983,EU,EU,PROD-APP-2143,Office Supplies,Appliances,Hamilton Beach Toaster,24.64,1,0.1,6.6
AMZ-2024-00052,2024-11-07,2024-11-09,Same Day,CUST-59441,Joseph Nair,Corporate,Guatemala,Guatemala City,Guatemala Region,73483,LATAM,LATAM,PROD-BOO-9903,Furniture,Bookcases,Whalen Bookcase,2980.33,7,0.05,914.38
AMZ-2020-00053,2020-03-30,2020-04-02,Second Class,CUST-26547,Thomas Robinson,Corporate,Lebanon,Lebanon City,Lebanon Region,59968,EMEA,EMEA,PROD-TAB-1606,Furniture,Tables,Realspace Magellan,3002.2,9,0.3,163.93
AMZ-2022-00054,2022-04-19,2022-04-26,Standard Class,CUST-95175,John Shah,Corporate,Turkey,Turkey City,Turkey Region,19807,EMEA,EMEA,PROD-BOO-7512,Furniture,Bookcases,Bush Furniture Bookcase,1970.04,6,0.3,614.09
AMZ-2023-00055,2023-06-18,2023-06-19,First Class,CUST-93066,Amit Shah,Consumer,Netherlands,Netherlands City,Netherlands Region,39817,EU,EU,PROD-BIN-2612,Office Supplies,Binders,Wilson Jones,74.58,1,0.15,21.54
AMZ-2022-00056,2022-01-04,2022-01-07,First Class,CUST-32280,Jennifer Williams,Home Office,Argentina,Argentina City,Argentina Region,42007,LATAM,LATAM,PROD-SUP-3950,Office Supplies,Supplies,BIC Pens Pack,236.68,10,0,28.32
AMZ-2022-00057,2022-07-30,2022-08-02,Same Day,CUST-67898,Susan Robinson,Corporate,Saudi Arabia,Saudi Arabia City,Saudi Arabia Region,70981,EMEA,EMEA,PROD-FUR-2210,Furniture,Furnishings,Rolodex Mesh,1002.97,5,0.05,350.85
AMZ-2020-00058,2020-08-06,2020-08-08,First Class,CUST-96275,Richard Wilson,Consumer,Bolivia,Bolivia City,Bolivia Region,57049,LATAM,LATAM,PROD-FAS-1359,Office Supplies,Fasteners,Bostitch Stapler,50.24,1,0.5,13.74
AMZ-2024-00059,2024-05-07,2024-05-14,Standard Class,CUST-98835,Vikas Singh,Home Office,Denmark,Denmark City,Denmark Region,56179,EU,EU,PROD-TAB-5106,Technology,Tablets,Samsung Galaxy Tab S8,593.19,1,0.1,170.0
AMZ-2023-00060,2023-04-01,2023-04-04,Same Day,CUST-36318,Robert Verma,Home Office,Turkey,Turkey City,Turkey Region,21813,EMEA,EMEA,PROD-BOO-3877,Furniture,Bookcases,Ameriwood Bookcase,907.4,5,0,115.32
AMZ-2024-00061,2024-07-09,2024-07-12,Standard Class,CUST-98647,Sneha Patel,Corporate,Kuwait,Kuwait City,Kuwait Region,25095,EMEA,EMEA,PROD-CHA-4696,Furniture,Chairs,Steelcase Leap,2544.91,7,0,329.15
AMZ-2022-00062,2022-07-20,2022-07-23,Standard Class,CUST-71797,James Lewis,Home Office,Qatar,Qatar City,Qatar Region,86619,EMEA,EMEA,PROD-BOO-4830,Furniture,Bookcases,IKEA Billy Bookcase,2149.55,8,0.1,526.15
AMZ-2020-00063,2020-10-13,2020-10-14,Same Day,CUST-69459,Susan Patel,Home Office,United States,Sterling Heights,Michigan,25220,East,US,PROD-LAP-7367,Technology,Laptops,MacBook Pro 14,1720.95,3,0.2,424.17
AMZ-2023-00064,2023-06-14,2023-06-18,Standard Class,CUST-57537,Patricia Patel,Corporate,China,China City,China Region,58566,APAC,APAC,PROD-COP-4868,Technology,Copiers,Sharp MX-3071,3399.54,7,0.1,363.55
AMZ-2024-00065,2024-10-02,2024-10-09,Second Class,CUST-16629,Pooja Taylor,Consumer,Mexico,Mexico City,Mexico Region,96870,LATAM,LATAM,PROD-TAB-1349,Technology,Tablets,Amazon Fire HD,7722.32,9,0.05,1744.59
AMZ-2021-00066,2021-11-03,2021-11-10,Second Class,CUST-42853,Pooja Garcia,Consumer,Denmark,Denmark City,Denmark Region,10371,EU,EU,PROD-TAB-9850,Furniture,Tables,Sauder L-Desk,121.03,4,0.5,17.81
AMZ-2021-00067,2021-06-27,2021-06-28,First Class,CUST-68756,Vikas Thomas,Home Office,Sweden,Sweden City,Sweden Region,78955,EU,EU,PROD-TAB-8802,Technology,Tablets,iPad Pro 12.9,5520.47,10,0,1480.44
AMZ-2022-00068,2022-07-27,2022-08-02,Same Day,CUST-19632,Suresh Williams,Corporate,United States,Rochester,New York,62640,South,US,PROD-BIN-8267,Office Supplies,Binders,Wilson Jones,212.85,10,0.4,56.12
AMZ-2023-00069,2023-05-08,2023-05-13,Same Day,CUST-95814,Rahul Joshi,Home Office,Thailand,Thailand City,Thailand Region,76263,APAC,APAC,PROD-SUP-2874,Office Supplies,Supplies,3M Tape,150.42,4,0.2,22.82
AMZ-2022-00070,2022-03-27,2022-03-31,Standard Class,CUST-30006,Priya Nair,Corporate,UAE,UAE City,UAE Region,50966,EMEA,EMEA,PROD-BOO-7132,Furniture,Bookcases,Bush Furniture Bookcase,693.46,2,0.15,203.55
AMZ-2023-00071,2023-04-16,2023-04-21,First Class,CUST-16743,Barbara Lewis,Corporate,Ethiopia,Ethiopia City,Ethiopia Region,97819,Africa,Africa,PROD-COP-7929,Technology,Copiers,Konica Minolta,2739.08,8,0.05,833.18
AMZ-2024-00072,2024-09-27,2024-10-02,Second Class,CUST-89822,Meena Patel,Home Office,Japan,Japan City,Japan Region,46512,APAC,APAC,PROD-LAB-1430,Office Supplies,Labels,Maco Labels,293.1,5,0.15,45.52
AMZ-2024-00073,2024-11-16,2024-11-18,Standard Class,CUST-79531,Michael Jackson,Corporate,Tanzania,Tanzania City,Tanzania Region,19120,Africa,Africa,PROD-TAB-2503,Technology,Tablets,iPad Pro 12.9,1961.22,6,0.5,448.86
AMZ-2020-00074,2020-11-14,2020-11-16,First Class,CUST-96761,Jessica Martin,Home Office,PEI,PEI City,PEI Region,16522,Canada,Canada,PROD-BIN-8259,Office Supplies,Binders,Staples Better Binder,125.55,2,0.15,22.47
AMZ-2023-00075,2023-10-20,2023-10-26,Standard Class,CUST-61807,Lisa Johnson,Consumer,Uganda,Uganda City,Uganda Region,79066,Africa,Africa,PROD-FAS-4612,Office Supplies,Fasteners,Staples Stapler,327.42,5,0.1,48.6
AMZ-2022-00076,2022-10-15,2022-10-21,First Class,CUST-83233,Arjun Patel,Corporate,Argentina,Argentina City,Argentina Region,26932,LATAM,LATAM,PROD-FUR-9196,Furniture,Furnishings,Rolodex Mesh,329.19,1,0.3,107.43
AMZ-2023-00077,2023-03-25,2023-03-29,Same Day,CUST-12733,David Garcia,Home Office,Tanzania,Tanzania City,Tanzania Region,93904,Africa,Africa,PROD-BOO-7636,Furniture,Bookcases,IKEA Billy Bookcase,2210.89,7,0,271.93
AMZ-2022-00078,2022-12-09,2022-12-10,First Class,CUST-76910,Rahul Brown,Home Office,Chile,Chile City,Chile Region,54500,LATAM,LATAM,PROD-MAC-2251,Technology,Machines,Canon Copier,1411.49,3,0.05,114.11
AMZ-2021-00079,2021-02-08,2021-02-10,First Class,CUST-83889,Vikas Robinson,Corporate,Kenya,Kenya City,Kenya Region,95918,Africa,Africa,PROD-ACC-8601,Technology,Accessories,USB Hub 7-Port,5777.99,10,0.15,1786.98
AMZ-2020-00080,2020-11-05,2020-11-09,Same Day,CUST-76497,John Anderson,Corporate,United States,Chattanooga,Tennessee,92756,Central,US,PROD-FUR-6766,Furniture,Furnishings,Artistic Wire Organizer,106.51,2,0,24.97
AMZ-2022-00081,2022-08-05,2022-08-10,Standard Class,CUST-75715,Robert Johnson,Corporate,South Africa,South Africa City,South Africa Region,68947,Africa,Africa,PROD-LAB-8792,Office Supplies,Labels,ULINE Labels,51.98,2,0.4,12.68
AMZ-2021-00082,2021-05-22,2021-05-28,Same Day,CUST-47079,Richard White,Corporate,Ecuador,Ecuador City,Ecuador Region,78690,LATAM,LATAM,PROD-ART-7108,Office Supplies,Art,Prismacolor Pencils,343.2,6,0,51.11
AMZ-2021-00083,2021-08-04,2021-08-07,First Class,CUST-55851,Barbara Sharma,Home Office,Oman,Oman City,Oman Region,29709,EMEA,EMEA,PROD-CHA-3317,Furniture,Chairs,OFM Essentials Chair,158.0,2,0.1,34.39
AMZ-2024-00084,2024-07-23,2024-07-25,Second Class,CUST-12389,Susan Anderson,Consumer,Bahrain,Bahrain City,Bahrain Region,22249,EMEA,EMEA,PROD-SUP-6928,Office Supplies,Supplies,BIC Pens Pack,268.43,4,0.05,93.95
AMZ-2020-00085,2020-06-07,2020-06-10,Standard Class,CUST-91006,Robert Lewis,Corporate,Quebec,Quebec City,Quebec Region,76543,Canada,Canada,PROD-APP-6517,Office Supplies,Appliances,Keurig Coffee Maker,625.26,10,0,166.54
AMZ-2022-00086,2022-04-21,2022-04-24,First Class,CUST-79993,Linda Anderson,Corporate,Israel,Israel City,Israel Region,68222,EMEA,EMEA,PROD-FAS-4833,Office Supplies,Fasteners,Stanley Bostitch,520.85,10,0.3,98.18
AMZ-2024-00087,2024-05-12,2024-05-16,Second Class,CUST-42768,Mary Sharma,Corporate,Senegal,Senegal City,Senegal Region,64874,Africa,Africa,PROD-ACC-3267,Technology,Accessories,Webcam HD,7063.46,9,0,957.23
AMZ-2021-00088,2021-07-12,2021-07-16,Standard Class,CUST-13495,Jessica Johnson,Corporate,Kenya,Kenya City,Kenya Region,67340,Africa,Africa,PROD-ACC-6727,Technology,Accessories,USB Hub 7-Port,2784.41,6,0.05,162.77
AMZ-2024-00089,2024-09-14,2024-09-20,Same Day,CUST-28191,Vikas Kumar,Corporate,Kuwait,Kuwait City,Kuwait Region,29142,EMEA,EMEA,PROD-PHO-8740,Technology,Phones,Google Pixel 7,2104.24,5,0.05,632.3
AMZ-2020-00090,2020-08-15,2020-08-22,Second Class,CUST-93748,Pooja Lewis,Corporate,Australia,Australia City,Australia Region,49472,APAC,APAC,PROD-PHO-7878,Technology,Phones,Samsung Galaxy S23,1002.77,9,0,240.25
AMZ-2024-00091,2024-01-11,2024-01-13,Standard Class,CUST-34551,Priya Patel,Consumer,Malaysia,Malaysia City,Malaysia Region,10205,APAC,APAC,PROD-ENV-7825,Office Supplies,Envelopes,Quality Park,611.47,9,0.4,174.83
AMZ-2022-00092,2022-03-10,2022-03-17,First Class,CUST-56805,Pooja Williams,Corporate,Brazil,Brazil City,Brazil Region,93318,LATAM,LATAM,PROD-BOO-1266,Furniture,Bookcases,Bush Furniture Bookcase,2796.75,10,0.15,251.77
AMZ-2023-00093,2023-01-23,2023-01-26,Same Day,CUST-18270,Amit Gupta,Corporate,British Columbia,British Columbia City,British Columbia Region,99742,Canada,Canada,PROD-STO-3209,Furniture,Storage,Iris USA Storage,104.81,1,0.15,34.59
AMZ-2024-00094,2024-07-27,2024-08-01,Same Day,CUST-16265,Divya Sharma,Corporate,Chile,Chile City,Chile Region,14799,LATAM,LATAM,PROD-LAB-6848,Office Supplies,Labels,ULINE Labels,241.14,7,0.3,76.78
AMZ-2021-00095,2021-11-25,2021-11-27,Same Day,CUST-20345,Jessica Lewis,Consumer,Ecuador,Ecuador City,Ecuador Region,58148,LATAM,LATAM,PROD-FAS-7955,Office Supplies,Fasteners,Staples Stapler,46.78,5,0.1,8.6
AMZ-2020-00096,2020-12-07,2020-12-13,Same Day,CUST-45986,Rahul Verma,Consumer,Peru,Peru City,Peru Region,68606,LATAM,LATAM,PROD-TAB-8126,Technology,Tablets,Microsoft Surface Pro,364.72,3,0,33.86
AMZ-2020-00097,2020-03-12,2020-03-14,First Class,CUST-99006,Joseph Thomas,Corporate,United States,Allentown,Pennsylvania,57467,South,US,PROD-PAP-3513,Office Supplies,Paper,Domtar Paper,79.93,6,0.2,11.53
AMZ-2021-00098,2021-05-26,2021-05-27,Same Day,CUST-68493,Michael Lewis,Corporate,United States,Bellevue,Washington,77861,South,US,PROD-BIN-5264,Office Supplies,Binders,Staples Better Binder,60.52,3,0,11.23
AMZ-2020-00099,2020-06-28,2020-07-05,Second Class,CUST-48058,Suresh Anderson,Consumer,Kuwait,Kuwait City,Kuwait Region,97535,EMEA,EMEA,PROD-CHA-9882,Furniture,Chairs,OFM Essentials Chair,1989.58,6,0.4,233.32
AMZ-2024-00100,2024-06-10,2024-06-12,Same Day,CUST-71263,Pooja Young,Consumer,Poland,Poland City,Poland Region,13445,EU,EU,PROD-FUR-7044,Furniture,Furnishings,Monitor Riser,418.72,8,0.4,72.54
AMZ-2024-00101,2024-08-13,2024-08-18,Standard Class,CUST-26821,Suresh Mehta,Home Office,United States,Rockford,Illinois,94192,East,US,PROD-STO-6644,Furniture,Storage,Bankers Box,588.9,7,0.4,190.34
AMZ-2024-00102,2024-08-29,2024-08-30,First Class,CUST-55353,Thomas Joshi,Corporate,Kenya,Kenya City,Kenya Region,49862,Africa,Africa,PROD-ACC-4694,Technology,Accessories,Dell Monitor Stand,6510.28,9,0.1,569.98
AMZ-2023-00103,2023-06-12,2023-06-17,Same Day,CUST-83874,Mary Mehta,Consumer,United States,Fort Wayne,Indiana,87569,West,US,PROD-TAB-6531,Technology,Tablets,Amazon Fire HD,617.69,5,0.05,173.01
AMZ-2023-00104,2023-06-19,2023-06-25,First Class,CUST-69446,John Kumar,Consumer,United States,Clarksville,Tennessee,47967,Central,US,PROD-TAB-5873,Furniture,Tables,Realspace Magellan,909.6,6,0.5,84.68
AMZ-2024-00105,2024-02-12,2024-02-19,Same Day,CUST-51827,Linda Harris,Consumer,Malaysia,Malaysia City,Malaysia Region,27139,APAC,APAC,PROD-FUR-2739,Furniture,Furnishings,Monitor Riser,596.4,5,0.2,184.44
AMZ-2021-00106,2021-05-23,2021-05-30,Second Class,CUST-75308,Thomas Harris,Corporate,Belgium,Belgium City,Belgium Region,85718,EU,EU,PROD-ENV-3610,Office Supplies,Envelopes,Quality Park,59.95,7,0.4,11.22
AMZ-2021-00107,2021-03-16,2021-03-21,Standard Class,CUST-47453,Karen Smith,Consumer,China,China City,China Region,16624,APAC,APAC,PROD-STO-8710,Furniture,Storage,Bankers Box,2563.29,7,0.15,162.96
AMZ-2023-00108,2023-03-13,2023-03-18,First Class,CUST-69028,Vikas Young,Corporate,Belgium,Belgium City,Belgium Region,82512,EU,EU,PROD-CHA-9261,Furniture,Chairs,Flash Furniture Chair,864.89,3,0,145.45
AMZ-2023-00109,2023-02-16,2023-02-19,Second Class,CUST-15276,Mary Johnson,Consumer,British Columbia,British Columbia City,British Columbia Region,36090,Canada,Canada,PROD-APP-9193,Office Supplies,Appliances,Black+Decker Iron,107.12,3,0.5,34.06
AMZ-2021-00110,2021-11-02,2021-11-07,Standard Class,CUST-76494,Arjun Thompson,Home Office,India,India City,India Region,61505,APAC,APAC,PROD-FAS-6511,Office Supplies,Fasteners,ACCO Fasteners,40.51,1,0.15,6.05
AMZ-2022-00111,2022-05-03,2022-05-08,Second Class,CUST-16731,Charles Martin,Consumer,China,China City,China Region,88238,APAC,APAC,PROD-BOO-4728,Furniture,Bookcases,Whalen Bookcase,2302.61,7,0,682.72
